;Player Name;Nation;Squad;Competition;Matches Played;Minutes Played;Gls 90;Ast 90;G+A 90;xG 90;xAG 90;Position;Age;Yellow Cards;Red Cards;Fouls commited;Fouls Drawn;Interceptions;Loose Ball Recovered;Aerial Duels Won %;Crosses;Shots on Target pr 90;Shots Total pr 90;Goals pr shot;Goals pr Shot on target;Average shooting distance;Short Cmp %;Medium Cmp%;Long Cmp%;Passes lead to shot;Completed passes into 1/3 offensive pitch;Completed passes into penalty area;Completed crosses into penalty area;Progressive passes;Tackles;Tackles Def 3rd;Tackles Mid 3rd;Tackles Att 3rd;Tackle succes %;Number of times dribbled;Blocks total (shots+passes);Shots blocked;Passes blocked;Clearances;Shot creating actions 90;Completed liveball passes lead to shot;Completed deadball passes lead to shot;Succesfull dribbles lead to shot;Shot lead to another shot;Fouls Drawn lead to shot;Defensive actions lead to shot;Goal Creating Action 90;liveball passes lead to goal;Deadball passes lead to goal;Dribbles lead to goal;Shots that lead goal scoring shot;Fouls drawn lead to goal;Defensive actions lead to goal;Elo;Prediction;market_value;difference;difference %
0;brenden aaronson;us USA;Leeds United;eng Premier League;14;1189;0.08;0.15;0.23;0.14;0.22;MF;22.0;2;0;8;28;1;68.0;26.1;42;0.3;1.44;0.05;0.25;19.1;82.4;77.1;38.5;27.0;27.0;7.0;2.0;28.0;24.0;8.0;13.0;3.0;33.3;16.0;21.0;1.0;20.0;5.0;3.86;35.0;7.0;3.0;2.0;3.0;1.0;0.38;3.0;0.0;0.0;1.0;0.0;1.0;1711;26.55;30.0;-3.45;-11.5
1;yunis abdelhamid;ma MAR;Reims;fr Ligue 1;15;1350;0.0;0.0;0.0;0.09;0.02;DF;35.0;1;0;19;9;34;96.0;64.4;3;0.0;1.0;0.0;0.0;12.0;84.3;89.7;54.9;4.0;41.0;2.0;0.0;46.0;33.0;17.0;16.0;0.0;78.9;4.0;30.0;12.0;18.0;43.0;1.07;12.0;0.0;0.0;2.0;0.0;2.0;0.13;1.0;0.0;0.0;1.0;0.0;0.0;1594;0.13;0.8;-0.67;-83.75
3;salis abdul samed;gh GHA;Lens;fr Ligue 1;15;1349;0.07;0.0;0.07;0.02;0.02;MF;22.0;2;0;37;22;18;98.0;56.3;5;0.07;0.4;0.17;1.0;23.6;92.1;95.0;78.3;9.0;81.0;9.0;1.0;58.0;22.0;8.0;12.0;2.0;60.9;9.0;17.0;4.0;13.0;13.0;1.2;17.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1722;14.93;10.0;4.93;49.3
4;laurent abergel;fr FRA;Lorient;fr Ligue 1;10;807;0.0;0.11;0.11;0.02;0.06;MF;29.0;2;0;7;9;12;51.0;50.0;2;0.0;0.45;0.0;0.0;23.9;94.6;89.5;77.1;7.0;33.0;2.0;0.0;27.0;32.0;23.0;9.0;0.0;37.0;17.0;12.0;2.0;10.0;10.0;1.45;11.0;0.0;0.0;1.0;0.0;1.0;0.11;1.0;0.0;0.0;0.0;0.0;0.0;1585;3.52;3.0;0.52;17.33
6;zakaria aboukhlal;ma MAR;Toulouse;fr Ligue 1;15;1170;0.23;0.23;0.46;0.27;0.11;FW;22.0;2;0;19;20;10;58.0;20.0;15;0.92;2.77;0.08;0.25;18.5;77.7;72.0;33.3;7.0;10.0;5.0;1.0;14.0;11.0;5.0;3.0;3.0;25.0;12.0;8.0;1.0;7.0;6.0;2.23;17.0;0.0;3.0;4.0;5.0;0.0;0.15;1.0;0.0;1.0;0.0;0.0;0.0;1554;5.28;3.5;1.78;50.86
7;tammy abraham;eng ENG;Roma;it Serie A;15;1041;0.26;0.09;0.35;0.54;0.16;FW;25.0;0;0;15;22;1;18.0;52.9;3;1.12;3.03;0.09;0.23;12.2;84.5;65.7;76.5;17.0;7.0;7.0;1.0;19.0;11.0;3.0;4.0;4.0;33.3;6.0;4.0;2.0;2.0;4.0;3.28;24.0;0.0;2.0;9.0;3.0;0.0;0.43;1.0;0.0;0.0;3.0;1.0;0.0;1734;35.33;45.0;-9.67;-21.49
8;francesco acerbi;it ITA;Inter;it Serie A;9;660;0.0;0.14;0.14;0.02;0.01;DF;34.0;1;0;6;5;6;34.0;81.0;2;0.0;0.41;0.0;0.0;22.0;92.4;91.1;73.6;2.0;26.0;2.0;0.0;25.0;8.0;7.0;1.0;0.0;100.0;0.0;5.0;3.0;2.0;22.0;0.68;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1843;8.04;4.0;4.04;101.0
10;marcos acuna;ar ARG;Sevilla;es La Liga;10;551;0.0;0.0;0.0;0.05;0.17;DF;31.0;4;1;14;8;11;51.0;62.5;55;0.0;1.47;0.0;0.0;29.7;88.1;75.2;50.0;12.0;14.0;12.0;7.0;22.0;19.0;10.0;8.0;1.0;64.3;5.0;7.0;2.0;5.0;7.0;2.88;10.0;6.0;0.0;2.0;0.0;0.0;0.16;1.0;0.0;0.0;0.0;0.0;0.0;1716;9.25;14.0;-4.75;-33.93
11;che adams;sct SCO;Southampton;eng Premier League;14;1066;0.34;0.08;0.42;0.33;0.14;FW;26.0;0;0;18;12;3;24.0;34.0;7;1.01;2.45;0.14;0.33;13.8;76.8;66.7;90.0;16.0;8.0;7.0;2.0;11.0;10.0;4.0;5.0;1.0;80.0;1.0;8.0;2.0;6.0;14.0;2.36;22.0;1.0;1.0;3.0;1.0;0.0;0.08;1.0;0.0;0.0;0.0;0.0;0.0;1673;14.32;22.0;-7.68;-34.91
12;tyler adams;us USA;Leeds United;eng Premier League;13;1166;0.0;0.0;0.0;0.0;0.07;MF;23.0;4;1;25;12;16;104.0;56.3;2;0.0;0.15;0.0;0.0;29.4;88.3;84.6;56.5;15.0;61.0;8.0;0.0;58.0;52.0;28.0;20.0;4.0;67.4;15.0;21.0;4.0;17.0;13.0;1.85;23.0;0.0;0.0;0.0;1.0;0.0;0.08;1.0;0.0;0.0;0.0;0.0;0.0;1711;17.73;17.0;0.73;4.29
