,Player Name,Nation,Squad,Matches Played,Minutes Played,Gls 90,Ast 90,G+A 90,xG 90,xAG 90,Age,Yellow Cards,Red Cards,Fouls commited,Fouls Drawn,Interceptions,Loose Ball Recovered,Aerial Duels Won %,Crosses,Shots on Target pr 90,Shots Total pr 90,Goals pr shot,Goals pr Shot on target,Average shooting distance,Short Cmp %,Medium Cmp%,Long Cmp%,Passes lead to shot,Completed passes into 1/3 offensive pitch,Completed passes into penalty area,Completed crosses into penalty area,Progressive passes,Tackles,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Tackle succes %,Number of times dribbled,Blocks total (shots+passes),Shots blocked,Passes blocked,Clearances,Shot creating actions 90,Completed liveball passes lead to shot,Completed deadball passes lead to shot,Succesfull dribbles lead to shot,Shot lead to another shot,Fouls Drawn lead to shot,Defensive actions lead to shot,Goal Creating Action 90,liveball passes lead to goal,Deadball passes lead to goal,Dribbles lead to goal,Shots that lead goal scoring shot,Fouls drawn lead to goal,Defensive actions lead to goal,DF,FW,MF,Prediction,market_value,difference,difference %
0,brenden aaronson,us USA,Leeds United,0.6100779437207372,1.1106246658730106,-0.22031700400981682,0.3899311524494037,0.027944099128236328,0.07833578377112319,1.2484734658236891,-1.073990661886719,0.14316489927872983,-0.3041753519952772,-0.048606883238245524,2.4814848536083605,-0.8544642947719224,1.0087680302087003,-0.4949388535213095,1.4185883084970348,-0.16516455742952052,0.27081068467274666,-0.22600700515571825,0.15549573639691663,0.5841940332714137,0.336095435250137,0.2993995366284426,-0.30390407548755227,2.1386470695092217,0.07808989221366197,0.03992995611295564,0.13688788588316522,0.22464298589870846,1.0936505729873267,0.3621775019947264,1.6284238445607886,0.6643165171411981,-0.340794940818726,2.4888424275318055,2.0441855763951167,-0.4511915180231535,2.929129126596285,-0.5632036598922978,1.096883382724017,1.647998162498846,1.3490097553936742,1.313322198430801,0.4811077940408414,1.556548336727184,1.2457024787158775,0.552767302469946,0.6833666897119702,-0.27162260048869397,-0.26818175823197155,1.5322119962233416,-0.31529656749461066,4.7087082715286845,0.0,0.0,1.0,26.55,30.0,-3.45,-11.5
1,yunis abdelhamid,ma MAR,Reims,0.9655994035758887,1.64840791370462,-0.5723654820758671,-0.5980096257532103,-0.683612890214944,-0.34827675586187495,-0.6878076075635648,2.1374174811975024,-0.5179307368843165,-0.3041753519952772,0.7221465861791544,-0.23340911895213715,2.5547110577729866,0.951939709678554,0.21344444630006001,-0.5227020642818538,-0.7488301980756793,-0.3632137382723633,-0.6578750410617571,-0.7262732797114314,-0.7591348430302067,-0.34483562549348945,-0.13782260351932352,-0.32475708107308876,-0.5713625056376014,0.12628185259825744,-0.6209536860423667,-0.6279108018223069,0.39394714483135407,0.9761777593411284,1.0306754598722152,1.227986499460307,-0.8229777481582592,0.39816449407534016,-0.49841062426110455,1.9984274354157758,1.9385267493355047,1.3606367972407387,1.1473668780677795,-0.6849898008298133,-0.3941825518161692,-0.41294118952448305,-0.5119602274269239,0.12450476674771792,-0.610837956549423,1.9036602819176707,-0.435085874867129,-0.3460197757521268,-0.27162260048869397,-0.26818175823197155,0.9512221796247603,-0.31529656749461066,-0.17282534396494637,1.0,0.0,0.0,0.13,0.8,-0.67,-83.75
2,salis abdul samed,gh GHA,Lens,0.9655994035758887,1.6450676450845478,-0.25535886640990985,-0.5980096257532103,-0.46075003284417343,-0.5760063854111239,-0.624208947724312,-1.073990661886719,0.14316489927872983,-0.3041753519952772,4.479918281519595,1.813558297639013,1.8035368275512265,2.0978021109854756,0.7330336891889425,-0.37324341370416425,-0.6086783868341017,-0.599081923287239,0.8532060813967792,2.903442564374783,1.2284845061118057,0.6845468218111642,0.8952072826765277,1.1761568390232064,0.15538858867976857,2.1520966236743466,0.3059636256246318,-0.23438343473576115,1.6507507325198276,0.9621014962680541,0.40381077891844797,1.4949447295272942,0.19740579540697667,0.6840560888231881,0.9683521151983636,1.4828009764171017,0.5709900792711453,1.5573833892179016,0.01725030921940936,-0.40176226579294333,0.3098015110210823,-0.41294118952448305,-0.5119602274269239,-0.6709942941369419,-0.610837956549423,1.2959631442382362,-0.7405991216727706,-0.6537744922310835,-0.27162260048869397,-0.26818175823197155,-0.34483202663361295,-0.31529656749461066,-0.17282534396494637,0.0,0.0,1.0,14.93,10.0,4.93,49.3
3,laurent abergel,fr FRA,Lorient,-0.8120078956998688,-0.16535794699453474,-0.5723654820758671,-0.11501635640971046,-0.4567396472359591,-0.6157249840721642,-0.44185966521645437,0.6552291074663232,0.14316489927872983,-0.3041753519952772,-0.5504928633239952,-0.26011299409207694,0.20729158832998681,-0.11832699363919306,-0.21595668281126124,-0.5585875750487862,-0.7488301980756793,-0.6935187108358896,-0.6578750410617571,-0.7262732797114314,0.19083705276036944,-0.20805968858002347,-0.20324460062417976,0.14983722677121908,-0.358395151991486,-0.10591577470933994,-0.6265543948741915,-0.6279108018223069,-0.2254060441754142,0.8356710606662626,1.6736257250919637,0.1927094609078423,-0.8229777481582592,-0.6420278706586237,1.4357819992019287,-0.037809838164855565,-0.3418580025230845,0.1670042698695362,-0.44773602473588026,-0.5549072135492419,-0.4669875683692895,-0.41294118952448305,-0.5119602274269239,-0.28696026474434777,-0.610837956549423,0.6699894009143071,-0.49100209245224663,-0.3566320073548496,-0.27162260048869397,-0.26818175823197155,-0.34483202663361295,-0.31529656749461066,-0.17282534396494637,0.0,0.0,1.0,3.52,3.0,0.52,17.33
4,zakaria aboukhlal,ma MAR,Toulouse,0.9655994035758887,1.0471595620916405,0.019387961710420083,0.2876522747060284,0.14841935658316574,0.17618269653098442,-0.21355041368413652,-1.073990661886719,0.14316489927872983,-0.3041753519952772,0.4194217093020352,0.44935292320606346,-0.11934079596515834,-0.12130872650651564,-1.0505972198634894,-0.19703140742926373,0.29765038443029,0.4226480314778625,-0.2538842011242565,-0.21074165918247698,-0.444810739555845,-0.7045230558675959,-0.7098703494529613,-0.9732939294842997,-0.42258114607649583,-0.700380643615078,-0.43955294998937594,-0.4043386986703106,-0.667120832951867,-0.605994210072372,-0.5457117981941638,-0.6781603749814152,0.046577893723168874,-0.9927001451152542,0.4615220110872155,-0.5699600702949577,-0.587424549241494,-0.3662392788596549,-0.6665746856513769,-0.36244902131467494,-0.2677849536336698,-0.41294118952448305,0.5552022490666129,0.676172697859301,1.5011213503911844,-0.48143675468883057,-0.442109167897144,-0.3931852495420054,-0.27162260048869397,1.1085504026678996,-0.34483202663361295,-0.31529656749461066,-0.17282534396494637,0.0,1.0,0.0,5.28,3.5,1.78,50.86
5,tammy abraham,eng ENG,Roma,0.9655994035758887,0.6162649101023385,0.6414101238489475,0.03082252037258021,0.46507613042360324,2.4501449490701748,0.7764521623292334,-0.33289647502112946,-1.1790263730473627,-0.3041753519952772,1.1427748361557817,1.900593149946963,-0.8452351242083005,-0.6124176693596272,0.6628545007556265,-0.4686808652778697,1.5627739688291067,1.771751390283061,0.16678725607310702,0.13431461823219717,-0.18069962406985912,0.5399153340542262,0.08597142645111341,1.1964236155360564,1.136221567416601,-0.6422582186663838,0.09002518510872119,-0.22224377302615056,-0.12837166335255426,-0.0992487394417136,-0.4993474670745643,-0.167575630076872,1.2807435935880622,-0.2700974164685467,0.31466664523168936,-0.6394446547450663,-0.08327556110228551,-0.7745295602607313,-0.6156223006141004,0.8797014942885554,0.9187345800250933,-0.41294118952448305,0.7789361619362989,4.828921626806998,1.68842633869904,-0.48143675468883057,0.8119988490521565,-0.1809406174875524,-0.27162260048869397,-0.26818175823197155,5.628935061982564,2.424092594270289,-0.17282534396494637,0.0,1.0,0.0,35.33,45.0,-9.67,-21.49
6,francesco acerbi,it ITA,Inter,-1.1675293555550201,-0.6563774341451346,-0.5723654820758671,0.6460639467982296,-0.09924241587513401,-0.5409264552068475,-0.6907887947435299,1.8903860855756391,-0.5179307368843165,-0.3041753519952772,-0.034267283807224096,-0.1671439473085839,0.2217372466034832,0.2752617448473734,2.7134479405101932,-0.49221867341531983,-0.7488301980756793,-0.47935755992579826,-0.6578750410617571,-0.7262732797114314,1.8987358824278653,1.5257311197615882,1.6202877356073324,1.8347154130103316,-0.5784614174258053,0.3754196841622578,-0.4660007416952148,-0.6279108018223069,0.4825282237665783,-0.1839622499360302,0.6204930610896372,-0.7611778733559049,-0.8229777481582592,3.204936517405221,-1.1216504695991936,-0.23863723468529127,0.5484291951203378,-0.6550566993943756,1.1468170321860822,-0.5829988903566097,-0.511883995243713,-0.41294118952448305,-0.5119602274269239,-0.6709942941369419,-0.610837956549423,-0.48143675468883057,-0.7405991216727706,-0.6537744922310835,-0.27162260048869397,-0.26818175823197155,-0.34483202663361295,-0.31529656749461066,-0.17282534396494637,1.0,0.0,0.0,8.04,4.0,4.04,101.0
7,marcos acuna,ar ARG,Sevilla,-0.8120078956998688,-1.0204667137329944,-0.5723654820758671,-0.5980096257532103,-0.683612890214944,-0.4111886968067344,0.800053227503956,1.1492918987100496,1.4653561716048225,2.8844214413345246,0.8826704353653099,0.002310272715227993,0.6843995796407093,0.4675835147896715,0.9408571422290375,2.0860073600010187,-0.7488301980756793,0.3126358874993876,-0.6578750410617571,-0.7262732797114314,1.949704694188316,0.5293270939599937,0.2732978607402742,0.12385704310552725,0.4792764390165691,-0.3935098170852897,0.6466734128939711,2.0842919517998753,-0.03228976724942835,0.6342525326933703,0.7435004701824509,0.6246174916666272,-0.32065525820262264,0.7705287886681393,0.02155288655256889,-0.1831343044233147,-0.11451370838801966,-0.16456032106690818,-0.41822762908479555,0.559154317643617,-0.2530217141659536,1.1172792456311946,-0.5119602274269239,0.496347239651658,-0.610837956549423,-0.48143675468883057,-0.18882040772494538,-0.20216508069299774,-0.27162260048869397,-0.26818175823197155,-0.34483202663361295,-0.31529656749461066,-0.17282534396494637,1.0,0.0,0.0,9.25,14.0,-4.75,-33.93
8,che adams,sct SCO,Southampton,0.6100779437207372,0.6997716256041412,0.7734283031237165,-0.12407683620980474,0.48512805846467544,0.9376491153866212,0.36504833149406685,-0.08586507939926628,-1.1790263730473627,-0.3041753519952772,1.1845986678295946,0.33726258311249174,-0.5968500555612549,-0.5298061293296928,-0.3220723501137443,-0.31729288616432355,1.0186370064912595,0.9168299223396752,0.4297926049238218,0.32065247274736886,-0.24648915414363537,-0.03882655154647234,-0.1937863662286999,1.189305119653444,0.7289215035684051,-0.6507283207945854,-0.04283607440178833,0.06000336172229746,-0.5902076918333793,-0.357996047930398,-0.42506991619928763,-0.11548621933209381,-0.3770517779626548,1.0080425631888972,-0.9186796387419616,-0.16661053129188602,-0.18913817134838426,-0.09605524029491515,-0.0371844330686163,0.10509616090344447,0.48514025921984594,-0.18653781791746368,0.03530258103130037,0.8834291581664161,0.038995676355379594,-0.48143675468883057,-0.4956842878055896,-0.25286796501711695,-0.27162260048869397,-0.26818175823197155,-0.34483202663361295,-0.31529656749461066,-0.17282534396494637,0.0,1.0,0.0,14.32,22.0,-7.68,-34.91
9,tyler adams,us USA,Leeds United,0.2545564838655857,1.033798487611352,-0.5723654820758671,-0.5980096257532103,-0.683612890214944,-0.6887840122661945,-0.16013747670976342,-0.8269592662648558,1.4653561716048225,2.8844214413345246,2.511011615199075,0.48759550982622457,1.4207268833035995,2.202162761341763,0.6698438499962237,-0.5261748556463957,-0.7488301980756793,-0.8204041576133414,-0.6578750410617571,-0.7262732797114314,1.8636393698810148,0.5021565678672715,0.5156422342992644,0.3292233230130612,0.7969527415386924,1.3293284272900707,0.1575448415812757,-0.6279108018223069,1.5747900761210745,3.8024354523584827,3.938854474078107,3.064138228213734,1.1600812722410172,0.8490169789736092,2.263186621461118,2.0441855763951167,0.5328101214774708,2.307651033832767,-0.008959011141491613,-0.05061630570083873,0.7306549539295343,-0.41294118952448305,-0.5119602274269239,-0.6709942941369419,0.11162414120944597,-0.48143675468883057,-0.46831145343219877,-0.2080607649167323,-0.27162260048869397,-0.26818175823197155,-0.34483202663361295,-0.31529656749461066,-0.17282534396494637,0.0,0.0,1.0,17.73,17.0,0.73,4.29
